P01D10B,P01A02,P01A03,P01A04,P01A05,P01A06,P01A07,CP,CAPITULO,SECCION,PREGUNTA,DEFINICION DE INCONSISTENCIA,CODIGO ERROR,COMENTARIOS
2001.0,1.0,3.0,142.0,11,69.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,58,9.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0023,12.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2501.0,16.0,3.0,19744.0,0130,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2701.0,22.0,10.0,25402.0,43,8.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,112,11.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,126,8.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0170,15.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0039,39.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2501.0,16.0,3.0,19744.0,117,7.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2501.0,16.0,8.0,20123.0,0029,9.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,142,5.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,115,10.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,83,1.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,40,3.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,240,6.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,157,15.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,127,9.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,122,12.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,97,14.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0004,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,25,1.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,10,4.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2401.0,13.0,27.0,17147.0,54,7.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0099,6.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,0081,13.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0114,10.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0009,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0076,7.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0085,15.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0061,4.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0030,4.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0013,2.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,5.0,13252.0,0081,10.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0043,3.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,2.0,13159.0,0078,5.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,8.0,13456.0,0096,15.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0015,1.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0062,6.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0153,14.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0135,12.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0109,10.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0130,4.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2301.0,11.0,8.0,13456.0,0026,12.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,3.0,142.0,0096,15.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,018,2.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0031,3.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0080,7.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0150,13.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0082,8.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0098,9.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,36.0,4933.0,0115,11.0,2.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2001.0,1.0,6.0,338.0,0024,1.0,1.0,0.0,1,B,1,"La respuesta a la pregunta de que si en la vivienda todas las personas comparten un mismo gasto de servicios básicos y alimentación es ""no"" y el total de hogares es igual a uno.",01B0101,
2101.0,9.0,4.0,11154.0,0005,2.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11154.0,0021,6.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0009,3.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0018,2.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2701.0,22.0,10.0,25402.0,0053,12.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0094,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,7.0,23918.0,0009,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,57,12.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,78,14.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,32,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,104,5.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2201.0,13.0,1.0,15430.0,0050,8.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2201.0,13.0,1.0,15430.0,0033,5.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2201.0,13.0,1.0,15430.0,0046,7.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,2.0,13159.0,0026,2.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0144,15.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0086,12.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0071,11.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0119,13.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,7.0,23918.0,0164,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0023,5.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,79,4.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,7.0,23918.0,0035,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,0103,1.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,0089,3.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,0002,15.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,0058,7.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,0090,2.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,22,62.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2401.0,13.0,8.0,16094.0,66,66.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,2.0,13159.0,0098,13.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,2.0,13159.0,0180,10.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,2.0,13159.0,0133,14.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,1.0,23511.0,0105,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2201.0,13.0,1.0,15430.0,0013,2.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2001.0,1.0,3.0,142.0,44,6.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2001.0,1.0,3.0,142.0,0028,1.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0149,1.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,5.0,13252.0,0071,9.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0107,3.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0001,4.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0033,13.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11154.0,0058,9.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11154.0,0057,10.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11151.0,54,8.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2201.0,13.0,1.0,15430.0,0073,10.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0118,1.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0103,10.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,8.0,20123.0,0059,14.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,8.0,13456.0,0082,8.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,8.0,13456.0,0070,7.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2501.0,16.0,3.0,19744.0,0068,10.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2701.0,22.0,10.0,25402.0,0034,8.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2701.0,22.0,10.0,25402.0,0077,14.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2701.0,22.0,10.0,25402.0,0031,6.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2101.0,9.0,4.0,11154.0,50,12.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,8.0,13456.0,0048,5.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,7.0,23918.0,0023,3.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,8.0,13456.0,0059,6.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2601.0,20.0,9.0,24104.0,0009,1.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2301.0,11.0,8.0,13456.0,0104,10.0,2.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2001.0,1.0,6.0,338.0,0116,11.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
2001.0,1.0,6.0,338.0,0080,8.0,1.0,0.0,1,D,1,La cantidad de hogares en la variable total de hogares de la sección de control de la entrevista es diferente a la variable de total de hogares en la sección hogares en la vivienda .,01D0101,
